item_cd,store_cd,日付,chanel_gp,販売数
4514953727427,861,2018-04-01,その他,0.0
4514953727427,861,2018-04-01,楽天,0.0
4514953727427,861,2018-04-01,自社EC,0.0
4514953727427,861,2018-04-02,Amazon,0.0
4514953727427,861,2018-04-02,Yahoo!,0.0
4514953727427,861,2018-04-02,その他,0.0
4514953727427,861,2018-04-02,楽天,0.0
4514953727427,861,2018-04-02,自社EC,5.0
4514953727427,861,2018-04-03,Amazon,0.0
4514953727427,861,2018-04-03,Yahoo!,0.0
4514953727427,861,2018-04-03,その他,0.0
4514953727427,861,2018-04-03,楽天,1.0
4514953727427,861,2018-04-03,自社EC,0.0
4514953727427,861,2018-04-04,Amazon,0.0
4514953727427,861,2018-04-04,Yahoo!,1.0
4514953727427,861,2018-04-04,その他,0.0
4514953727427,861,2018-04-04,楽天,0.0
4514953727427,861,2018-04-04,自社EC,0.0
4514953727427,861,2018-04-05,Amazon,0.0
4514953727427,861,2018-04-05,Yahoo!,1.0
4514953727427,861,2018-04-05,その他,0.0
4514953727427,861,2018-04-05,楽天,0.0
4514953727427,861,2018-04-05,自社EC,1.0
4514953727427,861,2018-04-06,Amazon,0.0
4514953727427,861,2018-04-06,Yahoo!,0.0
4514953727427,861,2018-04-06,その他,0.0
4514953727427,861,2018-04-06,楽天,0.0
4514953727427,861,2018-04-06,自社EC,1.0
4514953727427,861,2018-04-07,Amazon,0.0
4514953727427,861,2018-04-07,Yahoo!,0.0
4514953727427,861,2018-04-07,その他,0.0
4514953727427,861,2018-04-07,楽天,6.0
4514953727427,861,2018-04-07,自社EC,1.0
